Time (TI),Pressure 1,Pressure 2,Pressure 3,Pressure 4,Pressure 5,Pressure 6,Pressure 7,Pressure 8,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
90199236,4.486,4.054,3.323,0.1258,3.077,1.041,1.59,0.08965000000000001,-0.007568,-0.3088,-0.9484,0,0,-0.015250000000000001
90199247,0.3522,-0.2273,-0.6282,0.06956000000000001,0.1521,0.113,0.1351,0.054490000000000004,-0.002441,-0.311,-0.9536,-6.2250000000000005,11.84,-17.41
90199257,0.1413,-0.382,-0.8321000000000001,0.1539,0.10990000000000001,0.04972000000000001,0.114,0.061520000000000005,-0.006346999999999999,-0.312,-0.9541000000000001,2.2880000000000003,-4.0280000000000005,14.05
90199268,0.08507,-0.382,-0.8181,0.1328,0.08889000000000001,0.02159,0.114,0.06855,-0.002441,-0.3085,-0.9558000000000001,2.38,2.227,-20.81
90199278,0.1413,-0.3961,-0.7829,0.17500000000000002,0.0678,0.10590000000000001,0.1421,0.07558000000000001,-0.004882,-0.3098,-0.9545,1.907,0.9002,-14.64
90199289,0.1202,-0.3539,-0.7407,0.1258,0.07483000000000001,0.007534,0.06478,0.08965000000000001,-0.002685,-0.30660000000000004,-0.9545,0.9460000000000001,-0.5035000000000001,-0.8392000000000001
90199300,0.0921,-0.44530000000000003,-0.7759,0.1469,0.09592,0.02159,0.114,0.09668,-0.007324,-0.3125,-0.9555,0.8087000000000001,-0.6713,0.1373
90199624,0.1202,-0.3679,-0.9446,0.1539,0.117,0.06378,0.1491,0.09668,-0.004882,-0.3049,-0.9423,2.243,-0.25930000000000003,0.12200000000000001
90199807,0.1272,-0.4312,-0.7829,0.1398,0.0678,0.028620000000000003,0.09994000000000001,0.1177,-0.02099,-0.3195,-0.9577,1.1440000000000001,-0.4882,-0.2136
90200000,0.1342,-0.5578000000000001,-0.8532000000000001,0.11170000000000001,0.08889000000000001,-0.027620000000000002,0.06478,0.08965000000000001,-0.015130000000000001,-0.3146,-0.9594,4.074,-0.1525,0.1678
90200183,0.028820000000000002,-0.43820000000000003,-0.8532000000000001,0.09768,0.02561,-0.06277,-0.005522,0.12480000000000001,-0.003173,-0.2927,-0.9689000000000001,-14.290000000000001,7.843,-2.899
90200378,0.09914,-0.4101,-0.8181,0.1539,0.07483000000000001,0.02159,0.05072,0.06855,-0.009521,-0.29760000000000003,-0.9731000000000001,-7.675,9.445,-3.189
90200566,0.09914,-0.382,-0.797,0.16090000000000002,0.03264,0.4083,0.38820000000000005,0.08261,0.1955,-0.20670000000000002,-0.8483,21.77,98.26,-161.70000000000002
90200751,0.02179,-0.07267000000000001,-0.5720000000000001,0.2242,0.1521,-0.06277,-0.04771,0.005275,0.332,-0.1032,-0.9125000000000001,0.5493,-160.3,69.51
90200936,0.1061,-0.9445,-1.183,-0.0007524,0.039670000000000004,0.3239,-0.1531,0.28650000000000003,-0.11320000000000001,-0.3063,-1.1340000000000001,67.65,157.5,-33.32
90201120,0.14830000000000002,-1.113,-1.31,0.013300000000000001,0.0678,0.16920000000000002,0.2546,0.2232,0.2934,-0.09228,-0.6994,51.57,145.5,-158.9
90201315,0.007732999999999999,-0.009389,-0.5157,0.1469,0.1451,-0.11900000000000001,-0.054740000000000004,0.0123,-0.42010000000000003,-0.43110000000000004,-1.051,62.72,-54.870000000000005,-166.5
90201502,0.1342,-0.6914,-0.9376000000000001,0.11170000000000001,0.10990000000000001,0.3309,0.029630000000000004,0.1107,0.4484,-0.229,-0.9777,5.905,-12.11,66.6
90201686,0.1342,-0.5156000000000001,-0.9517,0.16090000000000002,0.1451,-0.1401,0.128,0.07558000000000001,0.23140000000000002,-1.043,-0.7985,-25.26,63.15,-59.46
90201878,0.1553,-0.07267000000000001,-0.6634,0.3789,0.039670000000000004,0.03565,0.2054,0.005275,0.21480000000000002,-0.6877,-0.8962,58.88,-59.410000000000004,-13.76
90202062,0.049920000000000006,-0.45230000000000004,-0.7196,0.055490000000000005,0.039670000000000004,0.12000000000000001,0.2616,0.2162,0.4975,-0.22260000000000002,-0.9274,-37.49,-38.97,68.67
90202247,0.04288,-0.44530000000000003,-0.8462000000000001,0.027370000000000002,0.05373000000000001,0.007534,-0.5398000000000001,0.1388,-0.49210000000000004,-1.192,-0.8996000000000001,201.4,-75.91,-133.1
90202431,0.05695000000000001,-0.1359,-0.6986,0.3015,-0.037660000000000006,-0.2034,0.2616,-0.008786,-0.018060000000000003,-0.9482,-1.093,-55.370000000000005,-3.128,-84.03
90202625,0.1202,-0.4172,-0.7478,0.2383,0.05373000000000001,-0.11900000000000001,0.2968,0.033400000000000006,-0.0747,-0.2209,-0.7653000000000001,74.35000000000001,39.58,-36.75
90202666,0.1272,-0.8742000000000001,-1.254,-0.4015,0.039670000000000004,0.9356000000000001,-0.807,0.4763,0.6994,-0.436,-1.866,-16.81,-226.4,-133.4
90202852,0.08507,-0.18510000000000001,-0.8814000000000001,-0.07809,0.011550000000000001,-0.5198,0.022600000000000002,0.3146,0.1447,0.08544,-0.6157,-14.61,30.44,-7.507000000000001
90203035,0.02179,-0.6,-0.9587,0.16790000000000002,-0.1009,-0.2104,-0.2797,0.033400000000000006,0.12810000000000002,-0.7788,-1.337,25.34,-6.942,2.7
90203228,0.11320000000000001,-0.48040000000000005,-0.8181,0.04846,0.08889000000000001,-0.02059,-0.4133,0.1388,0.4323,-0.2753,-0.2585,193.3,-10.950000000000001,-67.1
90203411,0.1413,-1.1480000000000001,-0.797,0.11170000000000001,0.23650000000000002,0.3801,-0.1531,0.08965000000000001,-0.2849,-0.01196,-1.006,5.065,11.040000000000001,13.530000000000001
90203594,0.11320000000000001,-0.5297000000000001,-0.7618,0.1328,0.05373000000000001,0.5278,-0.09692,0.054490000000000004,0.006103,-0.16740000000000002,-0.9763000000000001,27.95,5.706,25.95
90203792,0.09914,-0.3398,-0.8181,0.17500000000000002,0.09592,0.04972000000000001,0.12100000000000001,0.1037,-0.0004882,-0.435,-0.9194,26.91,-7.797000000000001,-43.94
90203969,0.07101,-0.7125,-0.9868,0.02034,0.1029,0.18330000000000002,-0.17420000000000002,0.12480000000000001,-0.02612,-0.3039,-1.038,-10.75,13.85,-3.89
90204163,0.2257,-0.4242,-0.797,-0.1343,0.5599000000000001,1.139,0.2194,0.3638,-0.1303,-0.7751,-0.8300000000000001,-13.44,-6.149,43.65
90204350,0.11320000000000001,-0.33280000000000004,-0.797,0.1469,0.09592,0.014560000000000002,0.1421,0.04043,-0.044430000000000004,-0.3947,-0.8884000000000001,24.560000000000002,-5.325,2.395
90204533,0.1202,-0.382,-0.804,0.1398,0.05373000000000001,-0.04168,0.001508,0.09668,-0.002685,-0.3129,-0.9645,-4.119,3.25,1.266
90204726,0.04288,-0.4031,-0.8181,0.1187,0.018580000000000003,-0.02059,0.128,0.1177,0.028800000000000003,-0.3317,-0.9506,-2.685,20.52,-0.3814
90204909,0.07101,-0.45230000000000004,-0.8603000000000001,0.1187,0.1029,0.05675,0.04369000000000001,0.08965000000000001,0.1174,-0.32120000000000004,-0.9384,-3.1430000000000002,29.73,0.3662
90205100,0.11320000000000001,-0.48750000000000004,-0.804,0.1258,0.07483000000000001,0.04972000000000001,0.10690000000000001,0.07558000000000001,0.1589,-0.3317,-0.9484,-3.082,18.26,3.494
90205292,0.1413,-0.4101,-0.7829,0.16090000000000002,0.07483000000000001,0.02159,0.07885,0.04746,0.2558,-0.2958,-0.9072,2.258,-0.5798,1.159
90205472,0.1061,-0.4172,-0.7829,0.1187,0.05373000000000001,0.028620000000000003,0.17020000000000002,0.08261,0.2321,-0.31220000000000003,-0.9077000000000001,-6.072,-2.166,5.889
90205661,0.1061,-0.382,-0.9587,0.1328,0.08186,0.07784,0.07182000000000001,0.1388,0.2763,-0.28340000000000004,-0.9226000000000001,-4.241,23.01,-5.676
90205852,0.09914,-0.4242,-0.804,0.1258,0.060770000000000005,0.007534,0.12100000000000001,0.09668,0.31070000000000003,-0.2944,-0.8955000000000001,4.852,3.387,1.693
90206032,0.09914,-0.4242,-0.797,0.16790000000000002,0.07483000000000001,-0.03465,0.09994000000000001,0.1388,0.31070000000000003,-0.3015,-0.924,3.509,3.463,-1.174
90206223,0.1272,-0.389,-0.8321000000000001,0.1187,-0.037660000000000006,-0.006528,0.10690000000000001,0.07558000000000001,0.35000000000000003,-0.3337,-0.8674000000000001,23.97,-9.429,-8.773
90206413,0.07804000000000001,-0.45930000000000004,-0.804,0.1469,0.117,0.06378,0.1421,0.1177,0.311,-0.43210000000000004,-0.8715,14.72,3.799,-0.7019000000000001
90206603,0.09914,-0.4172,-0.7759,0.1539,0.08889000000000001,0.042690000000000006,0.114,0.08965000000000001,0.2858,-0.436,-0.8764000000000001,15.540000000000001,-7.308,2.685
90206791,0.11320000000000001,-0.3539,-0.7478,0.1961,0.0678,0.03565,0.05072,0.06855,0.25830000000000003,-0.5405,-0.883,23.36,-15.65,-3.067
90206978,0.1413,-0.3539,-0.8111,0.09065000000000001,0.0678,0.0005025,0.04369000000000001,0.1037,0.2431,-0.5534,-0.8232,8.804,10,-2.777
90207166,0.09914,-0.45230000000000004,-0.8743000000000001,0.1539,0.05373000000000001,0.04972000000000001,0.17020000000000002,0.04746,0.3305,-0.5219,-0.8151,-4.165,-35.11,6.546
90207344,0.09914,-0.4312,-0.7689,0.04846,0.0678,0.15510000000000002,0.05072,0.16690000000000002,0.3413,-0.4375,-0.7739,-38.49,-53.83,-31.150000000000002
90207532,0.1202,-0.389,-0.8251000000000001,0.0344,0.05373000000000001,0.04972000000000001,0.15610000000000002,0.2232,0.1401,-0.2182,-0.8681000000000001,-51.31,-11.32,4.913
90207727,0.1553,-1.035,-1.022,0.1258,0.039670000000000004,-0.013560000000000001,0.17020000000000002,0.1177,0.060050000000000006,0.021720000000000003,-0.8999,-76.23,13.120000000000001,6.881
90207911,0.09914,-0.6492,-0.9728,0.189,0.1029,0.10590000000000001,0.1632,0.0123,0.08691,0.2431,-0.7922,-64.28,18.400000000000002,1.3880000000000001
90208096,0.1202,-0.4312,-0.8321000000000001,0.1469,0.07483000000000001,0.04972000000000001,-0.09692,0.06855,0.16790000000000002,0.23950000000000002,-0.8247,-48.11,12.1,-0.9613
90208282,0.09914,-0.2906,-0.804,0.09768,0.05373000000000001,-0.1612,0.2054,0.1529,0.2041,0.3388,-0.8366,10.78,2.487,1.8
90208479,0.08507,-0.382,-0.8392000000000001,0.11170000000000001,0.02561,-0.1471,0.05775,0.1037,0.1899,0.2995,-1.1340000000000001,65,-10.78,4.3180000000000005
90208666,0.1202,-0.1711,-0.6845,0.2664,0.039670000000000004,0.07784,0.08588000000000001,-0.01581,0.0083,-0.1057,-1.227,57.75,-20.37,7.736
90208850,0.08507,-0.1359,-0.6071000000000001,0.3015,0.07483000000000001,0.2887,0.2616,-0.09316,0.08374000000000001,-0.0227,-1.058,113.7,-33.53,15.21
90209036,0.07804000000000001,-0.48040000000000005,-0.9798,0.11170000000000001,0.08889000000000001,-0.10490000000000001,-0.11800000000000001,0.07558000000000001,0.003417,-0.384,-1.094,59.4,-7.949,3.967
90209223,0.04288,-0.5789000000000001,-0.9728,0.04846,0.039670000000000004,-0.10490000000000001,0.001508,0.1459,-0.0625,-0.3034,-0.7106,-59.35,-7.339,-3.402
90209410,0.14830000000000002,-0.08673,-0.6704,0.1539,0.018580000000000003,-0.03465,0.12100000000000001,0.08965000000000001,-0.028560000000000002,0.07641,-0.7702,-57.980000000000004,17.07,-6.393
90209596,0.14830000000000002,-0.9726,-1.022,0.1258,0.039670000000000004,0.042690000000000006,0.1491,0.1177,0.14300000000000002,-0.1042,-0.7426,-129.3,43.22,-1.663
90209782,0.2257,-0.45230000000000004,-0.8954000000000001,0.17500000000000002,0.02561,0.042690000000000006,0.18430000000000002,0.09668,0.1562,0.0078119999999999995,-0.9548000000000001,-41.15,18.43,-5.279
90209978,0.04288,-0.3679,-0.7829,-0.014810000000000002,0.018580000000000003,-0.1893,0.01557,0.3146,0.1564,-0.03271,-1.301,46.21,-6.774,1.312
90210165,0.16240000000000002,0.4687,-0.4525,0.4,0.09592,0.49970000000000003,0.05775,-0.1353,0.27290000000000003,0.07421000000000001,-1.5070000000000001,87.98,-38.57,6.82
90210347,0.049920000000000006,-0.3047,-0.7196,0.1258,-0.037660000000000006,-0.15410000000000001,-0.08989000000000001,0.1951,0.09716000000000001,-0.36300000000000004,-1.281,110.2,-32.02,11.21
90210534,0.08507,-0.6,-0.8532000000000001,-0.042940000000000006,0.046700000000000005,-0.2877,-0.03364,0.18100000000000002,0.05346000000000001,-0.15280000000000002,-0.8193,-42.26,0.6866,-5.355
90210719,0.1061,-0.2414,-0.7618,0.02034,0.03264,-0.49160000000000004,-0.061770000000000005,0.188,-0.037840000000000006,0.00122,-0.5683,-88.21000000000001,31.34,-15.91
90210915,0.08507,-0.45930000000000004,-0.7689,0.027370000000000002,0.08186,0.2606,-0.1531,0.2162,0.04467,-0.1647,-0.5961000000000001,-91.21000000000001,41.71,-12.39
90211100,0.09914,-0.7898000000000001,-0.9306000000000001,-0.0007524,0.039670000000000004,0.1622,0.08588000000000001,0.2584,0.09716000000000001,-0.2707,-1.28,-8.819,6.378,-3.112
90211285,0.1061,-0.3468,-0.7689,0.1187,-0.05172,0.2887,0.01557,0.08261,0.19010000000000002,-0.1665,-1.5010000000000001,67.1,-26.51,6.362
90211469,0.04288,-0.31170000000000003,-0.7407,0.2242,0.08186,0.07081000000000001,0.04369000000000001,0.033400000000000006,0.1894,-0.2856,-1.321,165.60000000000002,-48.59,12.86
90211656,0.07101,-0.382,-0.79,0.17500000000000002,0.03264,-0.24550000000000002,-0.17420000000000002,-0.001754,0.2556,-0.2949,-1.03,3.646,16.72,6.973
90211849,0.049920000000000006,-0.46640000000000004,-1.029,-0.007783,0.117,-0.4635,-0.1531,0.3779,-0.19140000000000001,0.4772,-0.46630000000000005,-117.7,42.480000000000004,-9.643
90212032,0.2257,-0.47340000000000004,-0.9376000000000001,0.1961,0.046700000000000005,0.4223,0.34600000000000003,-0.06503,-0.1228,-0.24430000000000002,-0.6052000000000001,-128.3,41.32,-5.111
90212227,0.1694,-0.19920000000000002,-0.9587,0.2031,0.018580000000000003,0.07784,0.33190000000000003,-0.029880000000000004,0.1223,-0.1047,-1.486,26.12,8.529,10.200000000000001
90212414,0.1694,0.5812,-0.4454,0.27340000000000003,0.09592,0.24650000000000002,0.1983,-0.1494,-0.0019529999999999999,-0.09350000000000001,-1.846,113.9,-48.78,15.39
90212598,0.07101,-0.1922,-0.797,0.3578,0.039670000000000004,-0.1119,0.1491,-0.11420000000000001,0.1447,-0.09326000000000001,-1.221,188,-59.18,23.650000000000002
90212782,0.14830000000000002,-0.3961,-0.7407,0.06252,0.09592,-0.04871,0.08588000000000001,0.1459,0.1247,0.16040000000000001,-0.37620000000000003,-31.37,34.480000000000004,-29.37
90212975,0.0921,-1.12,-1.106,-0.5913,0.05373000000000001,-0.4213,-0.35000000000000003,0.5185000000000001,0.1174,-0.1857,-0.0205,-165.4,40.19,-12.83
90213157,0.1413,-0.614,-0.9376000000000001,0.013300000000000001,0.08186,0.1973,0.2968,0.1177,0.4096,-0.3466,-1.119,-32.07,16.93,-2.2880000000000003
90213352,0.08507,-0.6703,-0.7407,0.43510000000000004,0.03264,-0.11900000000000001,0.1421,-0.09316,0.4902,-0.01,-1.721,63.14,-24.64,7.019
90213533,0.07101,-0.4242,-0.6775,0.639,0.10990000000000001,0.2887,0.10690000000000001,-0.5009,0.1452,0.045410000000000006,-1.571,190.4,-49.02,15.56
90213727,0.0921,-0.382,-0.7689,-0.007783,0.039670000000000004,0.014560000000000002,0.08588000000000001,0.1318,-0.1071,-0.1396,-0.8989,-29.02,-95.62,-14.950000000000001
