Time,Watts,Cadence
2025-01-01T10:52:05.000Z,122,13
2025-01-01T10:52:06.000Z,111,18
2025-01-01T10:52:07.000Z,121,27
2025-01-01T10:52:08.000Z,231,33
2025-01-01T10:52:09.000Z,217,33
2025-01-01T10:52:10.000Z,252,38
2025-01-01T10:52:11.000Z,240,38
2025-01-01T10:52:12.000Z,230,46
2025-01-01T10:52:13.000Z,224,52
2025-01-01T10:52:14.000Z,226,52
2025-01-01T10:52:15.000Z,234,57
2025-01-01T10:52:16.000Z,235,61
2025-01-01T10:52:17.000Z,236,61
2025-01-01T10:52:18.000Z,239,65
2025-01-01T10:52:19.000Z,240,68
2025-01-01T10:52:20.000Z,239,68
2025-01-01T10:52:21.000Z,239,68
2025-01-01T10:52:22.000Z,237,68
2025-01-01T10:52:23.000Z,238,68
2025-01-01T10:52:24.000Z,239,69
2025-01-01T10:52:25.000Z,240,69
2025-01-01T10:52:26.000Z,240,69
2025-01-01T10:52:27.000Z,237,69
2025-01-01T10:52:28.000Z,237,69
2025-01-01T10:52:29.000Z,239,69
2025-01-01T10:52:30.000Z,238,68
2025-01-01T10:52:31.000Z,242,69
2025-01-01T10:52:32.000Z,241,70
2025-01-01T10:52:33.000Z,243,70
2025-01-01T10:52:34.000Z,245,70
2025-01-01T10:52:35.000Z,244,71
2025-01-01T10:52:36.000Z,244,71
2025-01-01T10:52:37.000Z,244,71
2025-01-01T10:52:38.000Z,245,71
2025-01-01T10:52:39.000Z,248,71
2025-01-01T10:52:40.000Z,243,71
2025-01-01T10:52:41.000Z,243,70
2025-01-01T10:52:42.000Z,241,70
2025-01-01T10:52:43.000Z,240,70
2025-01-01T10:52:44.000Z,236,70
2025-01-01T10:52:45.000Z,230,69
2025-01-01T10:52:46.000Z,228,69
2025-01-01T10:52:47.000Z,229,67
2025-01-01T10:52:48.000Z,229,67
2025-01-01T10:52:49.000Z,232,66
2025-01-01T10:52:50.000Z,232,66
2025-01-01T10:52:51.000Z,230,66
2025-01-01T10:52:52.000Z,229,66
2025-01-01T10:52:53.000Z,232,66
2025-01-01T10:52:54.000Z,232,66
2025-01-01T10:52:55.000Z,234,66
2025-01-01T10:52:56.000Z,235,69
2025-01-01T10:52:57.000Z,235,70
2025-01-01T10:52:58.000Z,233,70
2025-01-01T10:52:59.000Z,233,70
2025-01-01T10:53:00.000Z,240,68
2025-01-01T10:53:01.000Z,233,68
2025-01-01T10:53:02.000Z,230,68
2025-01-01T10:53:03.000Z,236,69
2025-01-01T10:53:04.000Z,238,69
2025-01-01T10:53:05.000Z,236,69
2025-01-01T10:53:06.000Z,237,69
2025-01-01T10:53:07.000Z,237,70
2025-01-01T10:53:08.000Z,236,70
2025-01-01T10:53:09.000Z,235,69
2025-01-01T10:53:10.000Z,236,69
2025-01-01T10:53:11.000Z,233,69
2025-01-01T10:53:12.000Z,234,69
2025-01-01T10:53:13.000Z,234,69
2025-01-01T10:53:14.000Z,237,69
2025-01-01T10:53:15.000Z,238,69
2025-01-01T10:53:16.000Z,237,70
2025-01-01T10:53:17.000Z,235,70
2025-01-01T10:53:18.000Z,232,70
2025-01-01T10:53:19.000Z,223,70
2025-01-01T10:53:20.000Z,229,70
2025-01-01T10:53:21.000Z,229,70
2025-01-01T10:53:22.000Z,228,68
2025-01-01T10:53:23.000Z,228,68
2025-01-01T10:53:24.000Z,224,68
2025-01-01T10:53:25.000Z,220,67
2025-01-01T10:53:26.000Z,220,66
2025-01-01T10:53:27.000Z,223,66
2025-01-01T10:53:28.000Z,222,64
2025-01-01T10:53:29.000Z,223,65
2025-01-01T10:53:30.000Z,227,65
2025-01-01T10:53:31.000Z,227,66
2025-01-01T10:53:32.000Z,231,68
2025-01-01T10:53:33.000Z,228,68
2025-01-01T10:53:34.000Z,228,69
2025-01-01T10:53:35.000Z,226,68
2025-01-01T10:53:36.000Z,225,68
2025-01-01T10:53:37.000Z,220,66
2025-01-01T10:53:38.000Z,224,65
2025-01-01T10:53:39.000Z,228,65
2025-01-01T10:53:40.000Z,227,66
2025-01-01T10:53:41.000Z,226,67
2025-01-01T10:53:42.000Z,225,67
2025-01-01T10:53:43.000Z,225,66
2025-01-01T10:53:44.000Z,225,66
2025-01-01T10:53:45.000Z,225,66
2025-01-01T10:53:46.000Z,223,66
2025-01-01T10:53:47.000Z,222,65
2025-01-01T10:53:48.000Z,225,65
2025-01-01T10:53:49.000Z,228,67
2025-01-01T10:53:50.000Z,229,67
2025-01-01T10:53:51.000Z,228,67
2025-01-01T10:53:52.000Z,228,67
2025-01-01T10:53:53.000Z,231,67
2025-01-01T10:53:54.000Z,228,67
2025-01-01T10:53:55.000Z,228,67
2025-01-01T10:53:56.000Z,229,66
2025-01-01T10:53:57.000Z,232,66
2025-01-01T10:53:58.000Z,230,67
2025-01-01T10:53:59.000Z,230,68
2025-01-01T10:54:00.000Z,227,68
2025-01-01T10:54:01.000Z,225,68
2025-01-01T10:54:02.000Z,224,68
2025-01-01T10:54:03.000Z,226,68
2025-01-01T10:54:04.000Z,228,67
2025-01-01T10:54:05.000Z,225,66
2025-01-01T10:54:06.000Z,226,66
2025-01-01T10:54:07.000Z,227,66
2025-01-01T10:54:08.000Z,229,67
2025-01-01T10:54:09.000Z,227,67
2025-01-01T10:54:10.000Z,229,67
2025-01-01T10:54:11.000Z,227,68
2025-01-01T10:54:12.000Z,227,68
2025-01-01T10:54:13.000Z,225,68
2025-01-01T10:54:14.000Z,223,66
2025-01-01T10:54:15.000Z,220,65
2025-01-01T10:54:16.000Z,221,65
2025-01-01T10:54:17.000Z,221,66
2025-01-01T10:54:18.000Z,223,67
2025-01-01T10:54:19.000Z,221,67
2025-01-01T10:54:20.000Z,226,66
2025-01-01T10:54:21.000Z,221,66
2025-01-01T10:54:22.000Z,221,66
2025-01-01T10:54:23.000Z,221,65
2025-01-01T10:54:24.000Z,221,66
2025-01-01T10:54:25.000Z,215,66
2025-01-01T10:54:26.000Z,217,66
2025-01-01T10:54:27.000Z,223,66
2025-01-01T10:54:28.000Z,220,65
2025-01-01T10:54:29.000Z,220,65
2025-01-01T10:54:30.000Z,222,65
2025-01-01T10:54:31.000Z,223,65
2025-01-01T10:54:32.000Z,221,66
2025-01-01T10:54:33.000Z,219,66
2025-01-01T10:54:34.000Z,218,67
2025-01-01T10:54:35.000Z,219,66
2025-01-01T10:54:36.000Z,221,66
2025-01-01T10:54:37.000Z,214,68
2025-01-01T10:54:38.000Z,212,68
2025-01-01T10:54:39.000Z,222,67
2025-01-01T10:54:40.000Z,221,66
2025-01-01T10:54:41.000Z,220,66
2025-01-01T10:54:42.000Z,221,67
2025-01-01T10:54:43.000Z,221,67
2025-01-01T10:54:44.000Z,217,67
2025-01-01T10:54:45.000Z,221,67
2025-01-01T10:54:46.000Z,220,66
2025-01-01T10:54:47.000Z,219,66
2025-01-01T10:54:48.000Z,221,66
2025-01-01T10:54:49.000Z,221,67
2025-01-01T10:54:50.000Z,218,67
2025-01-01T10:54:51.000Z,219,66
2025-01-01T10:54:52.000Z,220,65
2025-01-01T10:54:53.000Z,219,65
2025-01-01T10:54:54.000Z,220,65
2025-01-01T10:54:55.000Z,220,65
2025-01-01T10:54:56.000Z,219,65
2025-01-01T10:54:57.000Z,219,65
2025-01-01T10:54:58.000Z,218,65
2025-01-01T10:54:59.000Z,219,65
2025-01-01T10:55:00.000Z,219,65
2025-01-01T10:55:01.000Z,219,65
2025-01-01T10:55:02.000Z,220,64
2025-01-01T10:55:03.000Z,222,63
2025-01-01T10:55:04.000Z,222,64
2025-01-01T10:55:05.000Z,221,64
2025-01-01T10:55:06.000Z,221,66
2025-01-01T10:55:07.000Z,217,66
2025-01-01T10:55:08.000Z,222,66
2025-01-01T10:55:09.000Z,221,66
2025-01-01T10:55:10.000Z,220,66
2025-01-01T10:55:11.000Z,219,66
2025-01-01T10:55:12.000Z,216,66
2025-01-01T10:55:13.000Z,221,66
2025-01-01T10:55:14.000Z,219,65
2025-01-01T10:55:15.000Z,220,66
2025-01-01T10:55:16.000Z,220,66
2025-01-01T10:55:17.000Z,220,65
2025-01-01T10:55:18.000Z,220,64
2025-01-01T10:55:19.000Z,221,64
2025-01-01T10:55:20.000Z,221,64
2025-01-01T10:55:21.000Z,220,64
2025-01-01T10:55:22.000Z,220,64
2025-01-01T10:55:23.000Z,222,64
2025-01-01T10:55:24.000Z,222,65
2025-01-01T10:55:25.000Z,221,65
2025-01-01T10:55:26.000Z,219,64
2025-01-01T10:55:27.000Z,221,64
2025-01-01T10:55:28.000Z,221,64
2025-01-01T10:55:29.000Z,220,64
2025-01-01T10:55:30.000Z,220,64
2025-01-01T10:55:31.000Z,223,64
2025-01-01T10:55:32.000Z,220,64
2025-01-01T10:55:33.000Z,219,64
2025-01-01T10:55:34.000Z,219,65
2025-01-01T10:55:35.000Z,220,65
2025-01-01T10:55:36.000Z,219,64
2025-01-01T10:55:37.000Z,220,63
2025-01-01T10:55:38.000Z,219,63
2025-01-01T10:55:39.000Z,223,63
2025-01-01T10:55:40.000Z,223,63
2025-01-01T10:55:41.000Z,221,63
2025-01-01T10:55:42.000Z,221,64
2025-01-01T10:55:43.000Z,221,64
2025-01-01T10:55:44.000Z,220,63
2025-01-01T10:55:45.000Z,220,62
2025-01-01T10:55:46.000Z,221,62
2025-01-01T10:55:47.000Z,219,63
2025-01-01T10:55:48.000Z,222,65
2025-01-01T10:55:49.000Z,222,65
2025-01-01T10:55:50.000Z,222,66
2025-01-01T10:55:51.000Z,221,66
2025-01-01T10:55:52.000Z,220,66
2025-01-01T10:55:53.000Z,222,66
2025-01-01T10:55:54.000Z,219,67
2025-01-01T10:55:55.000Z,219,67
2025-01-01T10:55:56.000Z,218,67
2025-01-01T10:55:57.000Z,220,68
2025-01-01T10:55:58.000Z,222,68
2025-01-01T10:55:59.000Z,221,65
2025-01-01T10:56:00.000Z,220,65
2025-01-01T10:56:01.000Z,220,65
2025-01-01T10:56:02.000Z,222,66
2025-01-01T10:56:03.000Z,220,66
2025-01-01T10:56:04.000Z,221,66
2025-01-01T10:56:05.000Z,220,66
2025-01-01T10:56:06.000Z,219,66
2025-01-01T10:56:07.000Z,219,66
2025-01-01T10:56:08.000Z,220,66
2025-01-01T10:56:09.000Z,223,66
2025-01-01T10:56:10.000Z,220,66
2025-01-01T10:56:11.000Z,222,66
2025-01-01T10:56:12.000Z,220,66
2025-01-01T10:56:13.000Z,215,66
2025-01-01T10:56:14.000Z,218,66
2025-01-01T10:56:15.000Z,220,64
2025-01-01T10:56:16.000Z,221,64
2025-01-01T10:56:17.000Z,221,64
2025-01-01T10:56:18.000Z,221,64
2025-01-01T10:56:19.000Z,219,64
2025-01-01T10:56:20.000Z,220,65
2025-01-01T10:56:21.000Z,220,64
2025-01-01T10:56:22.000Z,221,64
2025-01-01T10:56:23.000Z,216,64
2025-01-01T10:56:24.000Z,220,64
2025-01-01T10:56:25.000Z,221,64
2025-01-01T10:56:26.000Z,216,64
2025-01-01T10:56:27.000Z,220,64
2025-01-01T10:56:28.000Z,221,63
2025-01-01T10:56:29.000Z,220,63
2025-01-01T10:56:30.000Z,221,63
2025-01-01T10:56:31.000Z,224,64
2025-01-01T10:56:32.000Z,221,64
2025-01-01T10:56:33.000Z,219,65
2025-01-01T10:56:34.000Z,220,65
2025-01-01T10:56:35.000Z,217,65
2025-01-01T10:56:36.000Z,223,64
2025-01-01T10:56:37.000Z,222,64
2025-01-01T10:56:38.000Z,218,64
2025-01-01T10:56:39.000Z,220,64
2025-01-01T10:56:40.000Z,223,65
2025-01-01T10:56:41.000Z,221,65
2025-01-01T10:56:42.000Z,220,64
2025-01-01T10:56:43.000Z,222,64
2025-01-01T10:56:44.000Z,223,64
2025-01-01T10:56:45.000Z,220,66
2025-01-01T10:56:46.000Z,221,66
2025-01-01T10:56:47.000Z,219,67
2025-01-01T10:56:48.000Z,219,66
2025-01-01T10:56:49.000Z,214,66
2025-01-01T10:56:50.000Z,216,66
2025-01-01T10:56:51.000Z,221,65
2025-01-01T10:56:52.000Z,219,65
2025-01-01T10:56:53.000Z,241,63
2025-01-01T10:56:54.000Z,204,65
2025-01-01T10:56:55.000Z,218,66
2025-01-01T10:56:56.000Z,220,66
2025-01-01T10:56:57.000Z,220,63
2025-01-01T10:56:58.000Z,220,63
2025-01-01T10:56:59.000Z,219,64
2025-01-01T10:57:00.000Z,216,65
2025-01-01T10:57:01.000Z,222,65
2025-01-01T10:57:02.000Z,219,64
2025-01-01T10:57:03.000Z,219,63
2025-01-01T10:57:04.000Z,221,63
2025-01-01T10:57:05.000Z,220,64
2025-01-01T10:57:06.000Z,221,64
2025-01-01T10:57:07.000Z,221,64
2025-01-01T10:57:08.000Z,219,65
2025-01-01T10:57:09.000Z,219,65
2025-01-01T10:57:10.000Z,221,65
2025-01-01T10:57:11.000Z,215,65
2025-01-01T10:57:12.000Z,219,65
2025-01-01T10:57:13.000Z,258,63
2025-01-01T10:57:14.000Z,244,66
2025-01-01T10:57:15.000Z,248,66
2025-01-01T10:57:16.000Z,254,70
2025-01-01T10:57:17.000Z,275,72
2025-01-01T10:57:18.000Z,271,75
2025-01-01T10:57:19.000Z,265,78
2025-01-01T10:57:20.000Z,258,78
2025-01-01T10:57:21.000Z,255,78
2025-01-01T10:57:22.000Z,254,77
2025-01-01T10:57:23.000Z,254,77
2025-01-01T10:57:24.000Z,253,77
2025-01-01T10:57:25.000Z,253,76
2025-01-01T10:57:26.000Z,254,76
2025-01-01T10:57:27.000Z,257,76
2025-01-01T10:57:28.000Z,257,76
2025-01-01T10:57:29.000Z,256,77
2025-01-01T10:57:30.000Z,253,77
2025-01-01T10:57:31.000Z,254,77
2025-01-01T10:57:32.000Z,253,77
2025-01-01T10:57:33.000Z,253,77
2025-01-01T10:57:34.000Z,253,76
2025-01-01T10:57:35.000Z,252,76
2025-01-01T10:57:36.000Z,253,76
2025-01-01T10:57:37.000Z,249,76
2025-01-01T10:57:38.000Z,250,76
2025-01-01T10:57:39.000Z,252,76
2025-01-01T10:57:40.000Z,252,75
2025-01-01T10:57:41.000Z,253,75
2025-01-01T10:57:42.000Z,254,75
2025-01-01T10:57:43.000Z,251,76
2025-01-01T10:57:44.000Z,258,75
2025-01-01T10:57:45.000Z,244,75
2025-01-01T10:57:46.000Z,239,75
2025-01-01T10:57:47.000Z,247,76
2025-01-01T10:57:48.000Z,249,76
2025-01-01T10:57:49.000Z,251,76
2025-01-01T10:57:50.000Z,250,76
2025-01-01T10:57:51.000Z,250,74
2025-01-01T10:57:52.000Z,246,74
2025-01-01T10:57:53.000Z,248,74
2025-01-01T10:57:54.000Z,249,72
2025-01-01T10:57:55.000Z,248,72
2025-01-01T10:57:56.000Z,241,72
2025-01-01T10:57:57.000Z,249,71
2025-01-01T10:57:58.000Z,248,70
2025-01-01T10:57:59.000Z,251,70
2025-01-01T10:58:00.000Z,246,70
2025-01-01T10:58:01.000Z,255,70
2025-01-01T10:58:02.000Z,262,70
2025-01-01T10:58:03.000Z,250,70
2025-01-01T10:58:04.000Z,246,72
2025-01-01T10:58:05.000Z,247,73
2025-01-01T10:58:06.000Z,251,72
2025-01-01T10:58:07.000Z,252,72
2025-01-01T10:58:08.000Z,250,72
2025-01-01T10:58:09.000Z,250,72
2025-01-01T10:58:10.000Z,250,73
2025-01-01T10:58:11.000Z,250,73
2025-01-01T10:58:12.000Z,252,74
2025-01-01T10:58:13.000Z,252,74
2025-01-01T10:58:14.000Z,250,75
2025-01-01T10:58:15.000Z,246,76
2025-01-01T10:58:16.000Z,249,76
2025-01-01T10:58:17.000Z,249,74
2025-01-01T10:58:18.000Z,251,74
2025-01-01T10:58:19.000Z,252,74
2025-01-01T10:58:20.000Z,252,73
2025-01-01T10:58:21.000Z,250,73
2025-01-01T10:58:22.000Z,251,73
2025-01-01T10:58:23.000Z,251,73
2025-01-01T10:58:24.000Z,253,74
2025-01-01T10:58:25.000Z,255,74
2025-01-01T10:58:26.000Z,251,75
2025-01-01T10:58:27.000Z,247,75
2025-01-01T10:58:28.000Z,252,74
2025-01-01T10:58:29.000Z,246,74
2025-01-01T10:58:30.000Z,250,75
2025-01-01T10:58:31.000Z,249,75
2025-01-01T10:58:32.000Z,250,73
2025-01-01T10:58:33.000Z,249,73
2025-01-01T10:58:34.000Z,250,73
2025-01-01T10:58:35.000Z,250,74
2025-01-01T10:58:36.000Z,251,75
2025-01-01T10:58:37.000Z,251,75
2025-01-01T10:58:38.000Z,249,73
2025-01-01T10:58:39.000Z,251,73
2025-01-01T10:58:40.000Z,253,73
2025-01-01T10:58:41.000Z,249,73
2025-01-01T10:58:42.000Z,249,74
2025-01-01T10:58:43.000Z,252,74
2025-01-01T10:58:44.000Z,251,72
2025-01-01T10:58:45.000Z,252,70
2025-01-01T10:58:46.000Z,253,72
2025-01-01T10:58:47.000Z,250,72
2025-01-01T10:58:48.000Z,251,73
2025-01-01T10:58:49.000Z,250,74
2025-01-01T10:58:50.000Z,246,75
2025-01-01T10:58:51.000Z,246,75
2025-01-01T10:58:52.000Z,250,74
2025-01-01T10:58:53.000Z,250,74
2025-01-01T10:58:54.000Z,243,74
2025-01-01T10:58:55.000Z,249,72
2025-01-01T10:58:56.000Z,249,72
2025-01-01T10:58:57.000Z,250,72
2025-01-01T10:58:58.000Z,251,72
2025-01-01T10:58:59.000Z,249,72
2025-01-01T10:59:00.000Z,248,73
2025-01-01T10:59:01.000Z,249,73
2025-01-01T10:59:02.000Z,249,73
2025-01-01T10:59:03.000Z,272,73
2025-01-01T10:59:04.000Z,246,76
2025-01-01T10:59:05.000Z,246,76
2025-01-01T10:59:06.000Z,243,75
2025-01-01T10:59:07.000Z,252,70
2025-01-01T10:59:08.000Z,250,69
2025-01-01T10:59:09.000Z,249,69
2025-01-01T10:59:10.000Z,250,68
2025-01-01T10:59:11.000Z,251,68
2025-01-01T10:59:12.000Z,253,68
2025-01-01T10:59:13.000Z,246,70
2025-01-01T10:59:14.000Z,251,72
2025-01-01T10:59:15.000Z,250,72
2025-01-01T10:59:16.000Z,246,72
2025-01-01T10:59:17.000Z,250,72
2025-01-01T10:59:18.000Z,248,71
2025-01-01T10:59:19.000Z,251,71
2025-01-01T10:59:20.000Z,251,71
2025-01-01T10:59:21.000Z,250,71
2025-01-01T10:59:22.000Z,248,71
2025-01-01T10:59:23.000Z,249,71
2025-01-01T10:59:24.000Z,253,70
2025-01-01T10:59:25.000Z,250,70
2025-01-01T10:59:26.000Z,245,72
2025-01-01T10:59:27.000Z,250,71
2025-01-01T10:59:28.000Z,248,71
2025-01-01T10:59:29.000Z,253,71
2025-01-01T10:59:30.000Z,253,70
2025-01-01T10:59:31.000Z,249,71
2025-01-01T10:59:32.000Z,251,71
2025-01-01T10:59:33.000Z,253,71
2025-01-01T10:59:34.000Z,250,73
2025-01-01T10:59:35.000Z,251,73
2025-01-01T10:59:36.000Z,250,73
2025-01-01T10:59:37.000Z,251,71
2025-01-01T10:59:38.000Z,249,71
2025-01-01T10:59:39.000Z,251,71
2025-01-01T10:59:40.000Z,252,71
2025-01-01T10:59:41.000Z,251,72
2025-01-01T10:59:42.000Z,254,71
2025-01-01T10:59:43.000Z,249,71
2025-01-01T10:59:44.000Z,249,71
2025-01-01T10:59:45.000Z,254,72
2025-01-01T10:59:46.000Z,248,72
2025-01-01T10:59:47.000Z,248,73
2025-01-01T10:59:48.000Z,248,72
2025-01-01T10:59:49.000Z,247,70
2025-01-01T10:59:50.000Z,253,70
2025-01-01T10:59:51.000Z,250,70
2025-01-01T10:59:52.000Z,252,71
2025-01-01T10:59:53.000Z,253,71
2025-01-01T10:59:54.000Z,251,71
2025-01-01T10:59:55.000Z,250,72
2025-01-01T10:59:56.000Z,250,72
2025-01-01T10:59:57.000Z,251,73
2025-01-01T10:59:58.000Z,252,72
2025-01-01T10:59:59.000Z,254,72
2025-01-01T11:00:00.000Z,250,72
2025-01-01T11:00:01.000Z,250,74
2025-01-01T11:00:02.000Z,252,73
2025-01-01T11:00:03.000Z,251,73
2025-01-01T11:00:04.000Z,249,73
2025-01-01T11:00:05.000Z,249,74
2025-01-01T11:00:06.000Z,251,74
2025-01-01T11:00:07.000Z,249,73
2025-01-01T11:00:08.000Z,244,73
2025-01-01T11:00:09.000Z,251,71
2025-01-01T11:00:10.000Z,251,71
2025-01-01T11:00:11.000Z,249,72
2025-01-01T11:00:12.000Z,248,72
2025-01-01T11:00:13.000Z,250,74
2025-01-01T11:00:14.000Z,251,74
2025-01-01T11:00:15.000Z,250,74
2025-01-01T11:00:16.000Z,254,71
2025-01-01T11:00:17.000Z,251,72
2025-01-01T11:00:18.000Z,251,72
2025-01-01T11:00:19.000Z,251,73
2025-01-01T11:00:20.000Z,250,73
2025-01-01T11:00:21.000Z,251,73
2025-01-01T11:00:22.000Z,246,73
2025-01-01T11:00:23.000Z,252,73
2025-01-01T11:00:24.000Z,250,73
2025-01-01T11:00:25.000Z,243,73
2025-01-01T11:00:26.000Z,249,73
2025-01-01T11:00:27.000Z,250,72
2025-01-01T11:00:28.000Z,250,71
2025-01-01T11:00:29.000Z,250,71
2025-01-01T11:00:30.000Z,253,71
2025-01-01T11:00:31.000Z,249,72
2025-01-01T11:00:32.000Z,249,72
2025-01-01T11:00:33.000Z,250,72
2025-01-01T11:00:34.000Z,250,72
2025-01-01T11:00:35.000Z,249,71
2025-01-01T11:00:36.000Z,249,71
2025-01-01T11:00:37.000Z,250,70
2025-01-01T11:00:38.000Z,245,70
2025-01-01T11:00:39.000Z,244,74
2025-01-01T11:00:40.000Z,239,74
2025-01-01T11:00:41.000Z,251,72
2025-01-01T11:00:42.000Z,251,69
2025-01-01T11:00:43.000Z,251,69
2025-01-01T11:00:44.000Z,252,70
2025-01-01T11:00:45.000Z,250,70
2025-01-01T11:00:46.000Z,251,70
2025-01-01T11:00:47.000Z,251,69
2025-01-01T11:00:48.000Z,254,69
2025-01-01T11:00:49.000Z,249,69
2025-01-01T11:00:50.000Z,251,69
2025-01-01T11:00:51.000Z,252,70
2025-01-01T11:00:52.000Z,249,73
2025-01-01T11:00:53.000Z,250,73
2025-01-01T11:00:54.000Z,253,73
2025-01-01T11:00:55.000Z,250,71
2025-01-01T11:00:56.000Z,250,71
2025-01-01T11:00:57.000Z,249,71
2025-01-01T11:00:58.000Z,253,69
2025-01-01T11:00:59.000Z,250,68
2025-01-01T11:01:00.000Z,246,68
2025-01-01T11:01:01.000Z,253,70
2025-01-01T11:01:02.000Z,254,72
2025-01-01T11:01:03.000Z,249,71
2025-01-01T11:01:04.000Z,250,71
2025-01-01T11:01:05.000Z,255,71
2025-01-01T11:01:06.000Z,251,71
2025-01-01T11:01:07.000Z,251,71
2025-01-01T11:01:08.000Z,252,74
2025-01-01T11:01:09.000Z,249,74
2025-01-01T11:01:10.000Z,248,74
