type,t0,adc0,t1,adc1,t2,adc2,t3,adc3,t4,acc_x,acc_y,acc_z,t5,gyro_x,gyro_y,gyro_z
mpu,,,,,,,,,468593775,2888,16140,-32210,468593775,-6,-57,70
mpu,,,,,,,,,468596202,2888,16140,-32210,468596202,-6,-57,70
mpu,,,,,,,,,468598530,2888,16140,-32210,468598530,-6,-57,70
mpu,,,,,,,,,468600849,2888,16140,-32210,468600849,-6,-57,70
mpu,,,,,,,,,468603163,2888,16140,-32210,468603163,-6,-57,70
mpu,,,,,,,,,468605456,2888,16140,-32210,468605456,-6,-57,70
mpu,,,,,,,,,468607763,2888,16140,-32210,468607763,-6,-57,70
mpu,,,,,,,,,468610059,2888,16140,-32210,468610059,-6,-57,70
mpu,,,,,,,,,468612359,2888,16140,-32210,468612359,-6,-57,70
mpu,,,,,,,,,468614648,2888,16140,-32210,468614648,-6,-57,70
mpu,,,,,,,,,468616944,2888,16140,-32210,468616944,-6,-57,70
mpu,,,,,,,,,468619243,2888,16140,-32210,468619243,-6,-57,70
mpu,,,,,,,,,468621542,2888,16140,-32210,468621542,-6,-57,70
mpu,,,,,,,,,468623831,2888,16140,-32210,468623831,-6,-57,70
mpu,,,,,,,,,468626135,2888,16140,-32210,468626135,-6,-57,70
mpu,,,,,,,,,468628435,2888,16140,-32210,468628435,-6,-57,70
adc,468601604,-0.10850000381469727,468610939,0.09525000303983688,468620646,1.9815001487731934,468629824,2.1006250381469727,,,,,,,,
mpu,,,,,,,,,468630751,2888,16140,-32210,468630751,-6,-57,70
mpu,,,,,,,,,468633052,2888,16140,-32210,468633052,-6,-57,70
mpu,,,,,,,,,468635344,2888,16140,-32210,468635344,-6,-57,70
mpu,,,,,,,,,468637719,2888,16140,-32210,468637719,-6,-57,70
mpu,,,,,,,,,468640724,2888,16140,-32210,468640724,-6,-57,70
mpu,,,,,,,,,468643475,2888,16140,-32210,468643475,-6,-57,70
mpu,,,,,,,,,468646438,2888,16140,-32210,468646438,-6,-57,70
mpu,,,,,,,,,468649409,2872,16094,-32052,468649409,-10,14,27
mpu,,,,,,,,,468652358,2872,16094,-32052,468652358,-10,14,27
mpu,,,,,,,,,468655273,2872,16094,-32052,468655273,-10,14,27
mpu,,,,,,,,,468658230,2872,16094,-32052,468658230,-10,14,27
mpu,,,,,,,,,468661154,2872,16094,-32052,468661154,-10,14,27
mpu,,,,,,,,,468664098,2872,16094,-32052,468664098,-10,14,27
mpu,,,,,,,,,468667036,2872,16094,-32052,468667036,-10,14,27
adc,468639333,-0.07462500035762787,468649001,0.16900001466274261,468658532,1.9860000610351562,468668211,2.1076250076293945,,,,,,,,
mpu,,,,,,,,,468670129,2872,16094,-32052,468670129,-10,14,27
mpu,,,,,,,,,468672893,2872,16094,-32052,468672893,-10,14,27
mpu,,,,,,,,,468675898,2872,16094,-32052,468675898,-10,14,27
mpu,,,,,,,,,468678858,2872,16094,-32052,468678858,-10,14,27
mpu,,,,,,,,,468681848,2872,16094,-32052,468681848,-10,14,27
mpu,,,,,,,,,468684772,2872,16094,-32052,468684772,-10,14,27
mpu,,,,,,,,,468687717,2872,16094,-32052,468687717,-10,14,27
mpu,,,,,,,,,468690532,2872,16094,-32052,468690532,-10,14,27
mpu,,,,,,,,,468693443,2872,16094,-32052,468693443,-10,14,27
mpu,,,,,,,,,468696397,2872,16094,-32052,468696397,-10,14,27
mpu,,,,,,,,,468699401,2872,16094,-32052,468699401,-10,14,27
mpu,,,,,,,,,468702377,2872,16094,-32052,468702377,-10,14,27
mpu,,,,,,,,,468705352,2872,16094,-32052,468705352,-10,14,27
adc,468678154,0.005750000476837158,468687591,0.16712500154972076,468697568,2.0031251907348633,468707403,2.115875005722046,,,,,,,,
mpu,,,,,,,,,468708517,2872,16094,-32052,468708517,-10,14,27
mpu,,,,,,,,,468711309,2872,16094,-32052,468711309,-10,14,27
mpu,,,,,,,,,468714260,2872,16094,-32052,468714260,-10,14,27
mpu,,,,,,,,,468717233,2872,16094,-32052,468717233,-10,14,27
mpu,,,,,,,,,468720253,2872,16094,-32052,468720253,-10,14,27
mpu,,,,,,,,,468723189,2872,16094,-32052,468723189,-10,14,27
mpu,,,,,,,,,468726194,2872,16094,-32052,468726194,-10,14,27
mpu,,,,,,,,,468729082,2872,16094,-32052,468729082,-10,14,27
mpu,,,,,,,,,468732020,2872,16094,-32052,468732020,-10,14,27
mpu,,,,,,,,,468734959,2872,16094,-32052,468734959,-10,14,27
mpu,,,,,,,,,468737920,2872,16094,-32052,468737920,-10,14,27
mpu,,,,,,,,,468740829,2872,16094,-32052,468740829,-10,14,27
mpu,,,,,,,,,468743765,2872,16094,-32052,468743765,-10,14,27
adc,468716835,0.12387500703334808,468726494,0.06537500023841858,468736092,2.0122501850128174,468745732,2.114000082015991,,,,,,,,
mpu,,,,,,,,,468746809,2872,16094,-32052,468746809,-10,14,27
mpu,,,,,,,,,468749478,2686,16470,-32288,468749478,-11,13,-5
mpu,,,,,,,,,468752461,2686,16470,-32288,468752461,-11,13,-5
mpu,,,,,,,,,468755396,2686,16470,-32288,468755396,-11,13,-5
mpu,,,,,,,,,468758299,2686,16470,-32288,468758299,-11,13,-5
mpu,,,,,,,,,468761261,2686,16470,-32288,468761261,-11,13,-5
mpu,,,,,,,,,468764206,2686,16470,-32288,468764206,-11,13,-5
mpu,,,,,,,,,468767189,2686,16470,-32288,468767189,-11,13,-5
mpu,,,,,,,,,468770125,2686,16470,-32288,468770125,-11,13,-5
mpu,,,,,,,,,468773090,2686,16470,-32288,468773090,-11,13,-5
mpu,,,,,,,,,468776036,2686,16470,-32288,468776036,-11,13,-5
mpu,,,,,,,,,468778979,2686,16470,-32288,468778979,-11,13,-5
