type,t0,adc0,t1,adc1,t2,adc2,t3,adc3,t4,acc_x,acc_y,acc_z,t5,gyro_x,gyro_y,gyro_z
mpu,,,,,,,,,925768310,-5832,7998,-32768,925768310,-1,-3,0
mpu,,,,,,,,,925770800,-5832,7998,-32768,925770800,-1,-3,0
mpu,,,,,,,,,925773126,-5832,7998,-32768,925773126,-1,-3,0
mpu,,,,,,,,,925775440,-5832,7998,-32768,925775440,-1,-3,0
mpu,,,,,,,,,925777741,-5832,7998,-32768,925777741,-1,-3,0
mpu,,,,,,,,,925780031,-5832,7998,-32768,925780031,-1,-3,0
mpu,,,,,,,,,925782333,-5832,7998,-32768,925782333,-1,-3,0
mpu,,,,,,,,,925784629,-5832,7998,-32768,925784629,-1,-3,0
mpu,,,,,,,,,925786929,-5832,7998,-32768,925786929,-1,-3,0
mpu,,,,,,,,,925789210,-5832,7998,-32768,925789210,-1,-3,0
mpu,,,,,,,,,925791510,-5832,7998,-32768,925791510,-1,-3,0
mpu,,,,,,,,,925793812,-5832,7998,-32768,925793812,-1,-3,0
mpu,,,,,,,,,925796113,-5832,7998,-32768,925796113,-1,-3,0
mpu,,,,,,,,,925798413,-5832,7998,-32768,925798413,-1,-3,0
mpu,,,,,,,,,925800710,-5832,7998,-32768,925800710,-1,-3,0
mpu,,,,,,,,,925803013,-5832,7998,-32768,925803013,-1,-3,0
adc,925776175,0.0820000022649765,925785520,-0.0988750010728836,925795211,-0.006500000134110451,925804415,0.020500000566244125,,,,,,,,
mpu,,,,,,,,,925805319,-5832,7998,-32768,925805319,-1,-3,0
mpu,,,,,,,,,925807623,-5832,7998,-32768,925807623,-1,-3,0
mpu,,,,,,,,,925809915,-5832,7998,-32768,925809915,-1,-3,0
mpu,,,,,,,,,925812217,-5832,7998,-32768,925812217,-1,-3,0
mpu,,,,,,,,,925814516,-5832,7998,-32768,925814516,-1,-3,0
mpu,,,,,,,,,925817513,-5832,7998,-32768,925817513,-1,-3,0
mpu,,,,,,,,,925820480,-5832,7998,-32768,925820480,-1,-3,0
mpu,,,,,,,,,925823268,-5832,7998,-32768,925823268,-1,-3,0
mpu,,,,,,,,,925826321,-5832,7998,-32768,925826321,-1,-3,0
mpu,,,,,,,,,925829303,-5832,7998,-32768,925829303,-1,-3,0
mpu,,,,,,,,,925832280,-5832,7998,-32768,925832280,-1,-3,0
mpu,,,,,,,,,925835222,-5832,7998,-32768,925835222,-1,-3,0
mpu,,,,,,,,,925838151,-5832,7998,-32768,925838151,-1,-3,0
mpu,,,,,,,,,925841103,-5674,7950,-32768,925841103,4,2,2
adc,925813622,0.1340000033378601,925824487,-0.11762500554323196,925834336,-0.005625000223517418,925843673,0.018125001341104507,,,,,,,,
mpu,,,,,,,,,925844103,-5674,7950,-32768,925844103,4,2,2
mpu,,,,,,,,,925846650,-5674,7950,-32768,925846650,4,2,2
mpu,,,,,,,,,925849502,-5674,7950,-32768,925849502,4,2,2
mpu,,,,,,,,,925852463,-5674,7950,-32768,925852463,4,2,2
mpu,,,,,,,,,925855445,-5674,7950,-32768,925855445,4,2,2
mpu,,,,,,,,,925858407,-5674,7950,-32768,925858407,4,2,2
mpu,,,,,,,,,925861391,-5674,7950,-32768,925861391,4,2,2
mpu,,,,,,,,,925864338,-5674,7950,-32768,925864338,4,2,2
mpu,,,,,,,,,925867254,-5674,7950,-32768,925867254,4,2,2
mpu,,,,,,,,,925870215,-5674,7950,-32768,925870215,4,2,2
mpu,,,,,,,,,925873096,-5674,7950,-32768,925873096,4,2,2
mpu,,,,,,,,,925876022,-5674,7950,-32768,925876022,4,2,2
mpu,,,,,,,,,925878977,-5674,7950,-32768,925878977,4,2,2
mpu,,,,,,,,,925881935,-5674,7950,-32768,925881935,4,2,2
adc,925853629,0.1417500078678131,925863431,-0.11612500250339508,925872765,-0.0035000001080334187,925882229,0.009125000797212124,,,,,,,,
mpu,,,,,,,,,925884398,-5674,7950,-32768,925884398,4,2,2
mpu,,,,,,,,,925887422,-5674,7950,-32768,925887422,4,2,2
mpu,,,,,,,,,925890321,-5674,7950,-32768,925890321,4,2,2
mpu,,,,,,,,,925893225,-5674,7950,-32768,925893225,4,2,2
