type,t0,adc0,t1,adc1,t2,adc2,t3,adc3,t4,acc_x,acc_y,acc_z,t5,gyro_x,gyro_y,gyro_z
mpu,,,,,,,,,1347133656,-780,16642,-32768,1347133656,21,-8,-11
mpu,,,,,,,,,1347233661,-818,16662,-32768,1347233661,-12,-7,2
mpu,,,,,,,,,1347333687,-758,16696,-32768,1347333687,-12,3,17
mpu,,,,,,,,,1347433657,-562,16618,-32768,1347433657,-55,16,54
mpu,,,,,,,,,1347533690,-348,16716,-32768,1347533690,-52,38,47
mpu,,,,,,,,,1347633659,-400,16694,-32768,1347633659,-99,106,59
mpu,,,,,,,,,1347733688,0,16438,-32768,1347733688,-163,62,125
mpu,,,,,,,,,1347833648,-196,16716,-32264,1347833648,-155,58,127
mpu,,,,,,,,,1347933692,186,16638,-31742,1347933692,-187,-31,105
mpu,,,,,,,,,1348033652,50,16538,-31680,1348033652,-179,8,105
mpu,,,,,,,,,1348133691,-200,16604,-30486,1348133691,-144,-32,46
mpu,,,,,,,,,1348233650,464,16372,-31426,1348233650,-3,99,62
mpu,,,,,,,,,1348333651,578,16646,-31048,1348333651,7,67,40
mpu,,,,,,,,,1348433694,650,16524,-31140,1348433694,41,48,17
mpu,,,,,,,,,1348533653,706,16530,-31328,1348533653,-6,3,23
mpu,,,,,,,,,1348633694,686,16598,-31480,1348633694,3,-2,10
adc,1348911166,0.029625002294778824,1348920198,0.03800000250339508,1348929232,2.0889999866485596,1348938272,2.1136250495910645,,,,,,,,
mpu,,,,,,,,,1348733695,816,16418,-31214,1348733695,-25,-29,7
mpu,,,,,,,,,1484437990,156,16850,-32768,1484437990,168,86,-102
mpu,,,,,,,,,1484440412,156,16850,-32768,1484440412,168,86,-102
mpu,,,,,,,,,1484442742,156,16850,-32768,1484442742,168,86,-102
mpu,,,,,,,,,1484445042,156,16850,-32768,1484445042,168,86,-102
mpu,,,,,,,,,1484447341,156,16850,-32768,1484447341,168,86,-102
mpu,,,,,,,,,1484449638,156,16850,-32768,1484449638,168,86,-102
mpu,,,,,,,,,1484451928,156,16850,-32768,1484451928,168,86,-102
mpu,,,,,,,,,1484454215,156,16850,-32768,1484454215,168,86,-102
mpu,,,,,,,,,1484456503,156,16850,-32768,1484456503,168,86,-102
mpu,,,,,,,,,1484458778,156,16850,-32768,1484458778,168,86,-102
mpu,,,,,,,,,1484461063,156,16850,-32768,1484461063,168,86,-102
mpu,,,,,,,,,1484463359,156,16850,-32768,1484463359,168,86,-102
mpu,,,,,,,,,1484465662,156,16850,-32768,1484465662,168,86,-102
mpu,,,,,,,,,1484467942,156,16850,-32768,1484467942,168,86,-102
mpu,,,,,,,,,1484470236,156,16850,-32768,1484470236,168,86,-102
mpu,,,,,,,,,1484472534,156,16850,-32768,1484472534,168,86,-102
adc,1484445782,0.30512502789497375,1484455096,0.6003750562667847,1484464611,2.032750129699707,1484473928,2.103749990463257,,,,,,,,
mpu,,,,,,,,,1484474839,156,16850,-32768,1484474839,168,86,-102
mpu,,,,,,,,,1484477133,156,16850,-32768,1484477133,168,86,-102
mpu,,,,,,,,,1484479429,156,16850,-32768,1484479429,168,86,-102
mpu,,,,,,,,,1484481723,156,16850,-32768,1484481723,168,86,-102
mpu,,,,,,,,,1484484298,156,16850,-32768,1484484298,168,86,-102
mpu,,,,,,,,,1484487325,156,16850,-32768,1484487325,168,86,-102
mpu,,,,,,,,,1484490091,156,16850,-32768,1484490091,168,86,-102
mpu,,,,,,,,,1484493031,156,16850,-32768,1484493031,168,86,-102
mpu,,,,,,,,,1484496040,156,16850,-32768,1484496040,168,86,-102
mpu,,,,,,,,,1484498953,156,16850,-32768,1484498953,168,86,-102
mpu,,,,,,,,,1484501905,156,16850,-32768,1484501905,168,86,-102
mpu,,,,,,,,,1484504813,156,16850,-32768,1484504813,168,86,-102
mpu,,,,,,,,,1484507785,156,16850,-32768,1484507785,168,86,-102
mpu,,,,,,,,,1484510753,156,16850,-32768,1484510753,168,86,-102
adc,1484483108,0.20675000548362732,1484492631,0.5782500505447388,1484502199,2.032625198364258,1484511885,2.0998752117156982,,,,,,,,
mpu,,,,,,,,,1484513834,156,16850,-32768,1484513834,168,86,-102
mpu,,,,,,,,,1484516535,156,16850,-32768,1484516535,168,86,-102
mpu,,,,,,,,,1484519533,-282,16634,-32504,1484519533,93,86,-56
mpu,,,,,,,,,1484522501,-282,16634,-32504,1484522501,93,86,-56
mpu,,,,,,,,,1484525429,-282,16634,-32504,1484525429,93,86,-56
mpu,,,,,,,,,1484528342,-282,16634,-32504,1484528342,93,86,-56
mpu,,,,,,,,,1484531295,-282,16634,-32504,1484531295,93,86,-56
mpu,,,,,,,,,1484534214,-282,16634,-32504,1484534214,93,86,-56
mpu,,,,,,,,,1484537198,-282,16634,-32504,1484537198,93,86,-56
mpu,,,,,,,,,1484540156,-282,16634,-32504,1484540156,93,86,-56
mpu,,,,,,,,,1484543075,-282,16634,-32504,1484543075,93,86,-56
mpu,,,,,,,,,1484546059,-282,16634,-32504,1484546059,93,86,-56
mpu,,,,,,,,,1484549023,-282,16634,-32504,1484549023,93,86,-56
adc,1484522100,0.11800000816583633,1484531598,0.6158750057220459,1484541532,2.0429999828338623,1484551585,2.0792500972747803,,,,,,,,
mpu,,,,,,,,,1484552007,-282,16634,-32504,1484552007,93,86,-56
mpu,,,,,,,,,1484554515,-282,16634,-32504,1484554515,93,86,-56
mpu,,,,,,,,,1484557052,-282,16634,-32504,1484557052,93,86,-56
mpu,,,,,,,,,1484559553,-282,16634,-32504,1484559553,93,86,-56
mpu,,,,,,,,,1484562496,-282,16634,-32504,1484562496,93,86,-56
mpu,,,,,,,,,1484565438,-282,16634,-32504,1484565438,93,86,-56
mpu,,,,,,,,,1484568389,-282,16634,-32504,1484568389,93,86,-56
mpu,,,,,,,,,1484571371,-282,16634,-32504,1484571371,93,86,-56
mpu,,,,,,,,,1484574358,-282,16634,-32504,1484574358,93,86,-56
mpu,,,,,,,,,1484577255,-282,16634,-32504,1484577255,93,86,-56
mpu,,,,,,,,,1484580185,-282,16634,-32504,1484580185,93,86,-56
mpu,,,,,,,,,1484583082,-282,16634,-32504,1484583082,93,86,-56
mpu,,,,,,,,,1484586039,-282,16634,-32504,1484586039,93,86,-56
mpu,,,,,,,,,1484588989,-282,16634,-32504,1484588989,93,86,-56
adc,1484561579,0.17150001227855682,1484570685,0.6408750414848328,1484580483,2.0118751525878906,1484590128,2.0667500495910645,,,,,,,,
mpu,,,,,,,,,1484592015,-282,16634,-32504,1484592015,93,86,-56
mpu,,,,,,,,,1484594708,-282,16634,-32504,1484594708,93,86,-56
mpu,,,,,,,,,1484597635,-282,16634,-32504,1484597635,93,86,-56
mpu,,,,,,,,,1484600585,-282,16634,-32504,1484600585,93,86,-56
mpu,,,,,,,,,1484603516,-282,16634,-32504,1484603516,93,86,-56
mpu,,,,,,,,,1484606463,-282,16634,-32504,1484606463,93,86,-56
mpu,,,,,,,,,1484609383,-282,16634,-32504,1484609383,93,86,-56
mpu,,,,,,,,,1484612291,-282,16634,-32504,1484612291,93,86,-56
mpu,,,,,,,,,1484615228,-282,16634,-32504,1484615228,93,86,-56
mpu,,,,,,,,,1484618163,-142,16674,-32768,1484618163,67,73,-48
mpu,,,,,,,,,1484621143,-142,16674,-32768,1484621143,67,73,-48
mpu,,,,,,,,,1484624086,-142,16674,-32768,1484624086,67,73,-48
mpu,,,,,,,,,1484627033,-142,16674,-32768,1484627033,67,73,-48
adc,1484600191,0.07200000435113907,1484609690,0.5596250295639038,1484619307,1.983875036239624,1484629054,2.0436251163482666,,,,,,,,
mpu,,,,,,,,,1484630144,-142,16674,-32768,1484630144,67,73,-48
mpu,,,,,,,,,1484632908,-142,16674,-32768,1484632908,67,73,-48
mpu,,,,,,,,,1484635837,-142,16674,-32768,1484635837,67,73,-48
mpu,,,,,,,,,1484638783,-142,16674,-32768,1484638783,67,73,-48
mpu,,,,,,,,,1484641676,-142,16674,-32768,1484641676,67,73,-48
mpu,,,,,,,,,1484644622,-142,16674,-32768,1484644622,67,73,-48
mpu,,,,,,,,,1484647512,-142,16674,-32768,1484647512,67,73,-48
mpu,,,,,,,,,1484650509,-142,16674,-32768,1484650509,67,73,-48
mpu,,,,,,,,,1484653461,-142,16674,-32768,1484653461,67,73,-48
mpu,,,,,,,,,1484656409,-142,16674,-32768,1484656409,67,73,-48
