Time,Watts,Cadence
2025-07-01T19:56:29.000Z,50,0
2025-07-01T19:56:30.000Z,180,20
2025-07-01T19:56:31.000Z,130,33
2025-07-01T19:56:32.000Z,191,38
2025-07-01T19:56:33.000Z,235,38
2025-07-01T19:56:34.000Z,189,44
2025-07-01T19:56:35.000Z,187,53
2025-07-01T19:56:36.000Z,198,53
2025-07-01T19:56:37.000Z,193,59
2025-07-01T19:56:38.000Z,193,64
2025-07-01T19:56:39.000Z,192,64
2025-07-01T19:56:40.000Z,191,68
2025-07-01T19:56:41.000Z,186,69
2025-07-01T19:56:42.000Z,194,69
2025-07-01T19:56:43.000Z,161,68
2025-07-01T19:56:44.000Z,189,68
2025-07-01T19:56:45.000Z,188,68
2025-07-01T19:56:46.000Z,180,69
2025-07-01T19:56:47.000Z,183,67
2025-07-01T19:56:48.000Z,184,67
2025-07-01T19:56:49.000Z,183,65
2025-07-01T19:56:50.000Z,181,66
2025-07-01T19:56:51.000Z,182,66
2025-07-01T19:56:52.000Z,182,67
2025-07-01T19:56:53.000Z,183,67
2025-07-01T19:56:54.000Z,185,67
2025-07-01T19:56:55.000Z,183,68
2025-07-01T19:56:56.000Z,184,67
2025-07-01T19:56:57.000Z,184,67
2025-07-01T19:56:58.000Z,183,66
2025-07-01T19:56:59.000Z,182,66
2025-07-01T19:57:00.000Z,182,66
2025-07-01T19:57:01.000Z,183,66
2025-07-01T19:57:02.000Z,184,67
2025-07-01T19:57:03.000Z,181,67
2025-07-01T19:57:04.000Z,183,67
2025-07-01T19:57:05.000Z,186,67
2025-07-01T19:57:06.000Z,185,67
2025-07-01T19:57:07.000Z,185,67
2025-07-01T19:57:08.000Z,186,68
2025-07-01T19:57:09.000Z,187,68
2025-07-01T19:57:10.000Z,186,68
2025-07-01T19:57:11.000Z,186,68
2025-07-01T19:57:12.000Z,185,68
2025-07-01T19:57:13.000Z,185,68
2025-07-01T19:57:14.000Z,185,68
2025-07-01T19:57:15.000Z,185,68
2025-07-01T19:57:16.000Z,186,68
2025-07-01T19:57:17.000Z,184,67
2025-07-01T19:57:18.000Z,183,66
2025-07-01T19:57:19.000Z,186,66
2025-07-01T19:57:20.000Z,185,66
2025-07-01T19:57:21.000Z,186,67
2025-07-01T19:57:22.000Z,184,67
2025-07-01T19:57:23.000Z,187,68
2025-07-01T19:57:24.000Z,190,69
2025-07-01T19:57:25.000Z,176,69
2025-07-01T19:57:26.000Z,183,69
2025-07-01T19:57:27.000Z,184,68
2025-07-01T19:57:28.000Z,187,68
2025-07-01T19:57:29.000Z,187,67
2025-07-01T19:57:30.000Z,186,68
2025-07-01T19:57:31.000Z,185,68
2025-07-01T19:57:32.000Z,184,68
2025-07-01T19:57:33.000Z,184,67
2025-07-01T19:57:34.000Z,185,67
2025-07-01T19:57:35.000Z,185,67
2025-07-01T19:57:36.000Z,185,68
2025-07-01T19:57:37.000Z,185,68
2025-07-01T19:57:38.000Z,183,68
2025-07-01T19:57:39.000Z,179,67
2025-07-01T19:57:40.000Z,181,67
2025-07-01T19:57:41.000Z,184,67
2025-07-01T19:57:42.000Z,187,68
2025-07-01T19:57:43.000Z,184,68
2025-07-01T19:57:44.000Z,179,68
2025-07-01T19:57:45.000Z,182,68
2025-07-01T19:57:46.000Z,182,68
2025-07-01T19:57:47.000Z,181,67
2025-07-01T19:57:48.000Z,183,66
2025-07-01T19:57:49.000Z,181,66
2025-07-01T19:57:50.000Z,181,66
2025-07-01T19:57:51.000Z,180,68
2025-07-01T19:57:52.000Z,177,68
2025-07-01T19:57:53.000Z,176,68
2025-07-01T19:57:54.000Z,178,66
2025-07-01T19:57:55.000Z,176,66
2025-07-01T19:57:56.000Z,177,66
2025-07-01T19:57:57.000Z,176,66
2025-07-01T19:57:58.000Z,179,66
2025-07-01T19:57:59.000Z,178,66
2025-07-01T19:58:00.000Z,179,66
2025-07-01T19:58:01.000Z,179,66
2025-07-01T19:58:02.000Z,179,65
2025-07-01T19:58:03.000Z,178,65
2025-07-01T19:58:04.000Z,181,65
2025-07-01T19:58:05.000Z,179,66
2025-07-01T19:58:06.000Z,179,66
2025-07-01T19:58:07.000Z,179,66
2025-07-01T19:58:08.000Z,179,67
2025-07-01T19:58:09.000Z,179,67
2025-07-01T19:58:10.000Z,180,67
2025-07-01T19:58:11.000Z,179,67
2025-07-01T19:58:12.000Z,179,67
2025-07-01T19:58:13.000Z,179,67
2025-07-01T19:58:14.000Z,181,67
2025-07-01T19:58:15.000Z,181,67
2025-07-01T19:58:16.000Z,181,67
2025-07-01T19:58:17.000Z,181,67
2025-07-01T19:58:18.000Z,182,67
2025-07-01T19:58:19.000Z,182,67
2025-07-01T19:58:20.000Z,183,68
2025-07-01T19:58:21.000Z,181,68
2025-07-01T19:58:22.000Z,180,68
2025-07-01T19:58:23.000Z,180,67
2025-07-01T19:58:24.000Z,179,67
2025-07-01T19:58:25.000Z,178,67
2025-07-01T19:58:26.000Z,179,66
2025-07-01T19:58:27.000Z,181,67
2025-07-01T19:58:28.000Z,183,67
2025-07-01T19:58:29.000Z,182,69
2025-07-01T19:58:30.000Z,184,68
2025-07-01T19:58:31.000Z,185,68
2025-07-01T19:58:32.000Z,189,69
2025-07-01T19:58:33.000Z,191,69
2025-07-01T19:58:34.000Z,200,69
2025-07-01T19:58:35.000Z,200,70
2025-07-01T19:58:36.000Z,199,70
2025-07-01T19:58:37.000Z,203,69
2025-07-01T19:58:38.000Z,199,69
2025-07-01T19:58:39.000Z,201,70
2025-07-01T19:58:40.000Z,199,69
2025-07-01T19:58:41.000Z,202,69
2025-07-01T19:58:42.000Z,199,68
2025-07-01T19:58:43.000Z,202,68
2025-07-01T19:58:44.000Z,202,68
2025-07-01T19:58:45.000Z,199,69
2025-07-01T19:58:46.000Z,199,69
2025-07-01T19:58:47.000Z,196,69
2025-07-01T19:58:48.000Z,199,68
2025-07-01T19:58:49.000Z,201,68
2025-07-01T19:58:50.000Z,198,68
2025-07-01T19:58:51.000Z,199,68
2025-07-01T19:58:52.000Z,202,69
2025-07-01T19:58:53.000Z,199,69
2025-07-01T19:58:54.000Z,199,68
2025-07-01T19:58:55.000Z,201,68
2025-07-01T19:58:56.000Z,193,68
2025-07-01T19:58:57.000Z,196,69
2025-07-01T19:58:58.000Z,201,69
2025-07-01T19:58:59.000Z,195,71
2025-07-01T19:59:00.000Z,201,71
2025-07-01T19:59:01.000Z,200,70
2025-07-01T19:59:02.000Z,200,69
2025-07-01T19:59:03.000Z,202,69
2025-07-01T19:59:04.000Z,200,68
2025-07-01T19:59:05.000Z,199,69
2025-07-01T19:59:06.000Z,203,70
2025-07-01T19:59:07.000Z,201,70
2025-07-01T19:59:08.000Z,201,71
2025-07-01T19:59:09.000Z,199,70
2025-07-01T19:59:10.000Z,199,70
2025-07-01T19:59:11.000Z,193,70
2025-07-01T19:59:12.000Z,200,70
2025-07-01T19:59:13.000Z,201,70
2025-07-01T19:59:14.000Z,201,69
2025-07-01T19:59:15.000Z,200,68
2025-07-01T19:59:16.000Z,200,68
2025-07-01T19:59:17.000Z,201,68
2025-07-01T19:59:18.000Z,201,69
2025-07-01T19:59:19.000Z,200,69
2025-07-01T19:59:20.000Z,201,70
2025-07-01T19:59:21.000Z,203,71
2025-07-01T19:59:22.000Z,198,71
2025-07-01T19:59:23.000Z,198,70
2025-07-01T19:59:24.000Z,200,68
2025-07-01T19:59:25.000Z,203,69
2025-07-01T19:59:26.000Z,177,69
2025-07-01T19:59:27.000Z,200,66
2025-07-01T19:59:28.000Z,200,65
2025-07-01T19:59:29.000Z,198,65
2025-07-01T19:59:30.000Z,200,67
2025-07-01T19:59:31.000Z,201,67
2025-07-01T19:59:32.000Z,200,67
2025-07-01T19:59:33.000Z,203,67
2025-07-01T19:59:34.000Z,202,69
2025-07-01T19:59:35.000Z,197,69
2025-07-01T19:59:36.000Z,201,69
2025-07-01T19:59:37.000Z,202,69
2025-07-01T19:59:38.000Z,201,68
2025-07-01T19:59:39.000Z,199,67
2025-07-01T19:59:40.000Z,200,67
2025-07-01T19:59:41.000Z,199,67
2025-07-01T19:59:42.000Z,200,67
2025-07-01T19:59:43.000Z,201,67
2025-07-01T19:59:44.000Z,199,67
2025-07-01T19:59:45.000Z,199,67
2025-07-01T19:59:46.000Z,201,66
