type,t0,adc0,t1,adc1,t2,adc2,t3,adc3,t4,acc_x,acc_y,acc_z,t5,gyro_x,gyro_y,gyro_z
mpu,,,,,,,,,1543134148.0,2352.0,15458.0,-25612.0,1543134148.0,-158.0,-323.0,10.0
mpu,,,,,,,,,1543233745.0,4598.0,15086.0,-26984.0,1543233745.0,-254.0,-673.0,5.0
mpu,,,,,,,,,1543333732.0,4674.0,16250.0,-26060.0,1543333732.0,-340.0,-592.0,87.0
mpu,,,,,,,,,1543433738.0,6710.0,14340.0,-26526.0,1543433738.0,-559.0,-879.0,88.0
mpu,,,,,,,,,1543534372.0,6798.0,13954.0,-24740.0,1543534372.0,-571.0,-510.0,94.0
mpu,,,,,,,,,1543633772.0,6168.0,13656.0,-24602.0,1543633772.0,-381.0,7.0,131.0
mpu,,,,,,,,,1543733736.0,6080.0,12820.0,-25392.0,1543733736.0,-137.0,161.0,153.0
mpu,,,,,,,,,1543833738.0,5586.0,11594.0,-24922.0,1543833738.0,128.0,296.0,151.0
mpu,,,,,,,,,1543934398.0,5338.0,11960.0,-25732.0,1543934398.0,273.0,-54.0,4.0
mpu,,,,,,,,,1544033733.0,4480.0,11878.0,-25264.0,1544033733.0,403.0,28.0,-238.0
mpu,,,,,,,,,1544133734.0,1212.0,10436.0,-26622.0,1544133734.0,505.0,-92.0,-476.0
mpu,,,,,,,,,1544233735.0,6424.0,11986.0,-26148.0,1544233735.0,676.0,13.0,-677.0
mpu,,,,,,,,,1544334358.0,952.0,14484.0,-26122.0,1544334358.0,739.0,297.0,-648.0
mpu,,,,,,,,,1544433743.0,470.0,14166.0,-30268.0,1544433743.0,950.0,176.0,-338.0
mpu,,,,,,,,,1544533739.0,604.0,15654.0,-30646.0,1544533739.0,984.0,-63.0,-297.0
mpu,,,,,,,,,1544633736.0,788.0,14496.0,-29018.0,1544633736.0,816.0,-232.0,-385.0
mpu,,,,,,,,,1544734362.0,1164.0,17870.0,-31312.0,1544734362.0,728.0,-242.0,-312.0
mpu,,,,,,,,,1544833751.0,1478.0,19334.0,-32768.0,1544833751.0,430.0,-134.0,-170.0
mpu,,,,,,,,,1544933734.0,798.0,18556.0,-32768.0,1544933734.0,128.0,-4.0,-71.0
mpu,,,,,,,,,1545033742.0,1300.0,23246.0,-32768.0,1545033742.0,-144.0,134.0,30.0
mpu,,,,,,,,,1545133925.0,-4512.0,24694.0,-32768.0,1545133925.0,-977.0,305.0,510.0
mpu,,,,,,,,,1545233747.0,8068.0,12858.0,-28384.0,1545233747.0,-1680.0,-230.0,690.0
mpu,,,,,,,,,1545333743.0,60.0,22246.0,-32768.0,1545333743.0,-1360.0,44.0,620.0
mpu,,,,,,,,,1545433748.0,4630.0,15732.0,-27898.0,1545433748.0,-1330.0,59.0,580.0
mpu,,,,,,,,,1545534361.0,3604.0,14716.0,-25922.0,1545534361.0,-1026.0,43.0,612.0
mpu,,,,,,,,,1545633745.0,4174.0,12922.0,-26238.0,1545633745.0,-419.0,-69.0,447.0
mpu,,,,,,,,,1545733739.0,5060.0,8034.0,-28518.0,1545733739.0,397.0,-43.0,48.0
mpu,,,,,,,,,1545833739.0,776.0,8994.0,-30420.0,1545833739.0,798.0,-26.0,-637.0
mpu,,,,,,,,,1545934589.0,1092.0,6006.0,-28026.0,1545934589.0,1062.0,127.0,-1141.0
mpu,,,,,,,,,1546033732.0,4108.0,12342.0,-27428.0,1546033732.0,1281.0,423.0,-591.0
mpu,,,,,,,,,1546133733.0,2998.0,15388.0,-26840.0,1546133733.0,1225.0,-155.0,-474.0
mpu,,,,,,,,,1546233739.0,3894.0,19856.0,-26732.0,1546233739.0,1085.0,-364.0,-383.0
mpu,,,,,,,,,1546334607.0,2568.0,24492.0,-32768.0,1546334607.0,744.0,-65.0,-264.0
mpu,,,,,,,,,1546433746.0,2324.0,25368.0,-32768.0,1546433746.0,-74.0,108.0,19.0
mpu,,,,,,,,,1546533743.0,1604.0,21688.0,-32768.0,1546533743.0,-1612.0,-82.0,780.0
mpu,,,,,,,,,1546633796.0,3524.0,23194.0,-27584.0,1546633796.0,-1883.0,116.0,1011.0
mpu,,,,,,,,,1546734814.0,3572.0,16628.0,-27558.0,1546734814.0,-1768.0,150.0,856.0
