Time,Watts
0.0,186
1.0,183
2.0,145
3.0,137
4.0,166
5.0,159
6.0,159
7.0,150
8.0,154
9.0,158
10.0,160
11.0,161
12.0,161
13.0,160
14.0,157
15.000000000000002,161
16.0,159
17.0,161
18.0,161
19.0,161
20.0,163
21.0,161
22.0,161
23.0,161
24.0,165
25.0,162
26.0,165
27.0,164
28.0,165
29.000000000000004,162
30.000000000000004,164
31.000000000000004,163
32.0,352
33.0,384
34.0,336
35.0,313
36.0,286
37.0,304
38.0,301
39.0,298
40.0,300
41.0,299
42.0,296
43.0,300
44.0,302
45.0,299
46.0,291
47.0,293
48.0,291
49.0,293
50.0,290
51.0,289
52.0,282
53.0,280
54.0,282
55.0,285
56.0,284
57.0,284
58.00000000000001,285
59.00000000000001,280
60.00000000000001,281
61.00000000000001,136
62.00000000000001,114
63.00000000000001,81
64.0,100
65.0,54
66.0,34
67.0,41
68.0,75
69.0,131
70.0,182
71.0,185
72.0,197
73.0,153
74.0,152
75.0,150
76.0,150
77.0,150
78.0,154
79.0,150
80.0,150
81.0,150
82.0,151
83.0,151
84.0,150
85.0,152
86.0,150
87.0,150
88.0,150
89.0,149
90.0,150
91.0,149
92.0,284
93.0,294
94.0,276
95.0,257
96.0,254
97.0,253
98.0,253
99.0,254
100.0,259
101.0,256
102.0,269
103.0,275
104.0,276
105.0,274
106.0,284
107.0,279
108.0,279
109.0,280
110.0,280
111.0,290
112.0,293
113.0,295
114.0,290
115.00000000000001,290
116.00000000000001,289
117.00000000000001,293
118.00000000000001,294
119.00000000000001,293
120.00000000000001,291
121.00000000000001,275
122.00000000000001,146
123.00000000000001,91
124.00000000000001,105
125.00000000000001,70
126.00000000000001,153
127.00000000000001,170
128.0,159
129.0,157
130.0,159
131.0,161
132.0,159
133.0,161
134.0,162
135.0,159
136.0,162
137.0,162
138.0,161
139.0,162
140.0,161
141.0,159
142.0,159
143.0,161
144.0,161
145.0,161
146.0,162
147.0,161
148.0,161
149.0,162
150.0,160
151.0,161
152.0,159
153.0,400
154.0,277
155.0,241
156.0,248
157.0,241
158.0,242
159.0,245
160.0,243
161.0,264
162.0,249
163.0,251
164.0,246
165.0,245
166.0,249
167.0,259
168.0,258
169.0,257
170.0,261
171.0,262
172.0,313
173.0,366
174.0,363
175.0,337
176.0,328
177.0,318
178.0,320
179.0,315
180.0,316
181.0,316
182.0,148
183.0,139
184.0,107
185.0,115
186.0,98
187.0,64
188.0,55
189.0,38
190.0,157
191.0,162
192.0,171
193.0,167
194.0,158
195.0,166
196.0,162
197.0,162
198.0,153
199.0,162
200.0,163
201.0,160
202.0,151
203.0,145
204.0,145
205.0,164
206.0,161
207.0,162
208.0,162
209.0,162
210.0,164
211.0,164
212.0,309
213.0,284
214.0,287
215.0,266
216.0,256
217.0,260
218.0,265
219.0,267
220.0,276
221.0,273
222.0,269
223.0,273
224.0,271
225.0,273
226.0,282
227.0,289
228.0,286
229.00000000000003,301
230.00000000000003,314
231.00000000000003,305
232.00000000000003,304
233.00000000000003,308
234.00000000000003,367
235.00000000000003,347
236.00000000000003,329
237.00000000000003,327
238.00000000000003,330
239.00000000000003,324
240.00000000000003,309
241.00000000000003,147
242.00000000000003,151
243.00000000000003,133
244.00000000000003,102
245.00000000000003,122
246.00000000000003,143
247.00000000000003,155
248.00000000000003,162
249.00000000000003,165
250.00000000000003,167
251.00000000000003,172
252.00000000000003,170
253.00000000000003,171
254.00000000000003,172
255.00000000000003,172
256.0,174
257.0,171
258.0,173
259.0,171
260.0,172
261.0,172
262.0,173
263.0,174
264.0,176
265.0,177
266.0,178
267.0,180
268.0,181
269.0,182
270.0,184
271.0,201
272.0,369
273.0,349
274.0,325
275.0,303
276.0,302
277.0,313
278.0,307
279.0,314
280.0,319
281.0,307
282.0,312
283.0,336
284.0,324
285.0,312
286.0,313
287.0,312
288.0,310
289.0,310
290.0,336
291.0,317
292.0,316
293.0,315
294.0,311
295.0,309
296.0,312
297.0,310
298.0,309
299.0,304
300.0,302
301.0,193
302.0,167
303.0,118
304.0,87
305.0,85
306.0,93
307.0,83
308.0,41
309.0,0
310.0,0
311.0,0
312.0,0
313.0,0
314.0,0
315.0,0
316.0,0
317.0,0
318.0,0
319.0,0
320.0,0
321.0,0
322.0,0
323.0,0
324.0,0
325.0,0
326.0,0
327.0,0
328.0,0
